threadID;treeID;nodeid;covariate;split;NbrLeftNode;NbrTreatmentLeftNode;NbrControlLeftNode;NbrRightNode;NbrTreatmentRightNode;NbrControlRightNode;ErrorLeft;ErrorRight;CumulDiffBrutLeft;CumulDiffBrutRight;TotalError;TotalError1;TotalError2;NbrTLeft_Control;NbrTLeft_Traitement;NbrTRight_Control;NbrTRight_Traitement;CumulTLeft;CumulTRight;MaxT_Left; UsedMaxT_Left; MaxT_Right; UsedMaxT_Right; nbrEventLeftTreatment; nbrEventLeftControl; nbrEventRightTreatment; nbrEventRightControl
2;3;1;2;4.000000;61;34;27;76;34;42;17.136484;23.395529;17.136484;23.395529;426.167012;426.167012;426.167012;26;31;39;31;-1;-1;-1;-1;-1;-1;32;25;32;39
1;2;1;3;58.000000;52;24;28;85;44;41;114.460902;-15.200049;114.460902;-15.200049;8620.259485;8620.259485;8620.259485;28;23;38;38;-1;-1;-1;-1;-1;-1;20;26;44;38
0;1;1;3;58.000000;52;24;28;85;44;41;114.460902;-15.200049;114.460902;-15.200049;8620.259485;8620.259485;8620.259485;28;23;38;38;-1;-1;-1;-1;-1;-1;20;26;44;38
2;3;1;2;5.000000;75;39;36;62;29;33;-6.367869;52.814855;-6.367869;52.814855;4035.723756;4035.723756;4035.723756;34;34;32;28;-1;-1;-1;-1;-1;-1;37;33;27;31
1;2;1;3;59.000000;53;25;28;84;43;41;106.305791;-14.075314;106.305791;-14.075314;8032.225678;8032.225678;8032.225678;28;24;38;38;-1;-1;-1;-1;-1;-1;21;26;43;38
0;1;1;3;59.000000;53;25;28;84;43;41;106.305791;-14.075314;106.305791;-14.075314;8032.225678;8032.225678;8032.225678;28;24;38;38;-1;-1;-1;-1;-1;-1;21;26;43;38
2;3;1;2;6.000000;79;41;38;58;27;31;-9.407735;61.451968;-9.407735;61.451968;4796.526751;4796.526751;4796.526751;36;36;31;26;-1;-1;-1;-1;-1;-1;39;34;25;30
1;2;1;3;60.000000;60;29;31;77;39;38;82.915681;-16.811503;82.915681;-16.811503;6778.514701;6778.514701;6778.514701;30;26;35;34;-1;-1;-1;-1;-1;-1;25;29;39;35
0;1;1;3;60.000000;60;29;31;77;39;38;82.915681;-16.811503;82.915681;-16.811503;6778.514701;6778.514701;6778.514701;30;26;35;34;-1;-1;-1;-1;-1;-1;25;29;39;35
1;2;1;3;61.000000;64;31;33;73;37;36;78.558955;-20.381072;78.558955;-20.381072;6762.751719;6762.751719;6762.751719;32;28;34;32;-1;-1;-1;-1;-1;-1;27;31;37;33
0;1;1;3;61.000000;64;31;33;73;37;36;78.558955;-20.381072;78.558955;-20.381072;6762.751719;6762.751719;6762.751719;32;28;34;32;-1;-1;-1;-1;-1;-1;27;31;37;33
1;2;1;3;62.000000;74;37;37;63;31;32;60.017312;-21.906116;60.017312;-21.906116;5593.636583;5593.636583;5593.636583;36;33;31;28;-1;-1;-1;-1;-1;-1;33;34;31;30
0;1;1;3;62.000000;74;37;37;63;31;32;60.017312;-21.906116;60.017312;-21.906116;5593.636583;5593.636583;5593.636583;36;33;31;28;-1;-1;-1;-1;-1;-1;33;34;31;30
1;2;1;3;63.000000;86;42;44;51;26;25;46.627326;-17.319720;46.627326;-17.319720;4235.013535;4235.013535;4235.013535;42;37;26;25;-1;-1;-1;-1;-1;-1;38;41;26;23
2;3;1;2;7.000000;83;43;40;54;25;29;14.684613;22.948351;14.684613;22.948351;553.238575;553.238575;553.238575;38;38;29;25;-1;-1;-1;-1;-1;-1;41;36;23;28
0;1;1;3;63.000000;86;42;44;51;26;25;46.627326;-17.319720;46.627326;-17.319720;4235.013535;4235.013535;4235.013535;42;37;26;25;-1;-1;-1;-1;-1;-1;38;41;26;23
2;3;1;3;58.000000;52;24;28;85;44;41;114.460902;-15.200049;114.460902;-15.200049;8620.259485;8620.259485;8620.259485;28;23;38;38;-1;-1;-1;-1;-1;-1;20;26;44;38
0;1;1;2;4.000000;61;34;27;76;34;42;17.136484;23.395529;17.136484;23.395529;426.167012;426.167012;426.167012;26;31;39;31;-1;-1;-1;-1;-1;-1;32;25;32;39
1;2;1;2;4.000000;61;34;27;76;34;42;17.136484;23.395529;17.136484;23.395529;426.167012;426.167012;426.167012;26;31;39;31;-1;-1;-1;-1;-1;-1;32;25;32;39
1;2;1;2;5.000000;75;39;36;62;29;33;-6.367869;52.814855;-6.367869;52.814855;4035.723756;4035.723756;4035.723756;34;34;32;28;-1;-1;-1;-1;-1;-1;37;33;27;31
0;1;1;2;5.000000;75;39;36;62;29;33;-6.367869;52.814855;-6.367869;52.814855;4035.723756;4035.723756;4035.723756;34;34;32;28;-1;-1;-1;-1;-1;-1;37;33;27;31
2;3;1;3;59.000000;53;25;28;84;43;41;106.305791;-14.075314;106.305791;-14.075314;8032.225678;8032.225678;8032.225678;28;24;38;38;-1;-1;-1;-1;-1;-1;21;26;43;38
1;2;1;2;6.000000;79;41;38;58;27;31;-9.407735;61.451968;-9.407735;61.451968;4796.526751;4796.526751;4796.526751;36;36;31;26;-1;-1;-1;-1;-1;-1;39;34;25;30
0;1;1;2;6.000000;79;41;38;58;27;31;-9.407735;61.451968;-9.407735;61.451968;4796.526751;4796.526751;4796.526751;36;36;31;26;-1;-1;-1;-1;-1;-1;39;34;25;30
2;3;1;3;60.000000;60;29;31;77;39;38;82.915681;-16.811503;82.915681;-16.811503;6778.514701;6778.514701;6778.514701;30;26;35;34;-1;-1;-1;-1;-1;-1;25;29;39;35
1;2;1;2;7.000000;83;43;40;54;25;29;14.684613;22.948351;14.684613;22.948351;553.238575;553.238575;553.238575;38;38;29;25;-1;-1;-1;-1;-1;-1;41;36;23;28
0;1;1;2;7.000000;83;43;40;54;25;29;14.684613;22.948351;14.684613;22.948351;553.238575;553.238575;553.238575;38;38;29;25;-1;-1;-1;-1;-1;-1;41;36;23;28
2;3;1;3;61.000000;64;31;33;73;37;36;78.558955;-20.381072;78.558955;-20.381072;6762.751719;6762.751719;6762.751719;32;28;34;32;-1;-1;-1;-1;-1;-1;27;31;37;33
1;2;1;1;50.000000;52;27;25;85;41;44;-39.108148;53.380042;-39.108148;53.380042;6148.899817;6148.899817;6148.899817;22;22;41;38;-1;-1;-1;-1;-1;-1;26;24;38;40
1;2;1;1;60.000000;79;39;40;58;29;29;-35.839080;86.204068;-35.839080;86.204068;8261.158273;8261.158273;8261.158273;37;31;27;29;-1;-1;-1;-1;-1;-1;38;38;26;26
2;3;1;3;62.000000;74;37;37;63;31;32;60.017312;-21.906116;60.017312;-21.906116;5593.636583;5593.636583;5593.636583;36;33;31;28;-1;-1;-1;-1;-1;-1;33;34;31;30
0;1;1;1;50.000000;52;27;25;85;41;44;-39.108148;53.380042;-39.108148;53.380042;6148.899817;6148.899817;6148.899817;22;22;41;38;-1;-1;-1;-1;-1;-1;26;24;38;40
2;3;1;3;63.000000;86;42;44;51;26;25;46.627326;-17.319720;46.627326;-17.319720;4235.013535;4235.013535;4235.013535;42;37;26;25;-1;-1;-1;-1;-1;-1;38;41;26;23
